name,year,selling_price,km_driven,fuel,transmission,owner,mileage,engine
Maruti Swift Dzire VDI,2014,45000.0,14550.0,Diesel,Manual,First Owner,23.4 kmpl,1248 CC
Skoda Rapid 1.5 TDI Ambition,2014,37000.0,12000.0,Diesel,Manual,Second Owner,21.14 kmpl,1498 CC
Honda City 2017-2020 EXi,2006,15800.0,14000.0,Petrol,Manual,Third Owner,17.7 kmpl,1497 CC
Hyundai i20 Sportz Diesel,2010,22500.0,12700.0,Diesel,Manual,First Owner,23.0 kmpl,1396 CC
Maruti Swift VXI BSIII,2007,13000.0,12000.0,Petrol,Manual,First Owner,16.1 kmpl,1298 CC
Hyundai Xcent 1.2 VTVT E Plus,2017,44000.0,4500.0,Petrol,Manual,First Owner,20.14 kmpl,1197 CC
Maruti Wagon R LXI DUO BSIII,2007,9600.0,17500.0,LPG,Manual,First Owner,17.3 km/kg,1061 CC
Maruti 800 DX BSII,2001,4500.0,500.0,Petrol,Manual,Second Owner,16.1 kmpl,796 CC
Toyota Etios VXD,2011,35000.0,9000.0,Diesel,Manual,First Owner,23.59 kmpl,1364 CC
Ford Figo Diesel Celebration Edition,2013,20000.0,16900.0,Diesel,Manual,First Owner,20.0 kmpl,1399 CC
Renault Duster 110PS Diesel RxL,2014,50000.0,6800.0,Diesel,Manual,Second Owner,19.01 kmpl,1461 CC
Maruti Zen LX,2005,9200.0,10000.0,Petrol,Manual,Second Owner,17.3 kmpl,993 CC
Maruti Swift Dzire VDi,2009,28000.0,14000.0,Diesel,Manual,Second Owner,19.3 kmpl,1248 CC
Maruti Swift 1.3 VXi,2007,20000.0,8000.0,Petrol,Manual,Second Owner,,
Maruti Wagon R LXI Minor,2009,18000.0,9000.0,Petrol,Manual,Second Owner,18.9 kmpl,1061 CC
Mahindra KUV 100 mFALCON G80 K8 5str,2016,40000.0,4000.0,Petrol,Manual,First Owner,18.15 kmpl,1198 CC
Maruti Ertiga SHVS VDI,2016,77800.0,7000.0,Diesel,Manual,Second Owner,24.52 kmpl,1248 CC
Hyundai i20 1.4 CRDi Asta,2012,50000.0,5300.0,Diesel,Manual,Second Owner,23.0 kmpl,1396 CC
Maruti Alto LX,2002,15000.0,8000.0,Petrol,Manual,Second Owner,19.7 kmpl,796 CC
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,68000.0,10000.0,Diesel,Manual,First Owner,22.54 kmpl,1396 CC
Mahindra Verito 1.5 D4 BSIII,2011,17400.0,10000.0,Diesel,Manual,Second Owner,21.0 kmpl,1461 CC
Honda WR-V i-DTEC VX,2017,95000.0,5000.0,Diesel,Manual,First Owner,25.5 kmpl,1498 CC
Maruti Swift Dzire ZDI,2015,52500.0,4000.0,Diesel,Manual,First Owner,26.59 kmpl,1248 CC
Maruti SX4 ZDI,2012,60000.0,7200.0,Diesel,Manual,First Owner,21.5 kmpl,1248 CC
Tata Tigor 2017-2020 XZ,2018,50000.0,3500.0,Petrol,Manual,First Owner,20.3 kmpl,1199 CC
Maruti Baleno Delta 1.2,2016,57500.0,4500.0,Petrol,Manual,First Owner,21.4 kmpl,1197 CC
Maruti Alto 800 LXI,2017,27500.0,2800.0,Petrol,Manual,First Owner,24.7 kmpl,796 CC
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,30000.0,7000.0,Diesel,Manual,First Owner,18.2 kmpl,1248 CC
Maruti Wagon R LXI Minor,2009,22000.0,12000.0,Petrol,Manual,First Owner,18.9 kmpl,1061 CC
Maruti Omni E MPI STD BS IV,2018,25499.9,2500.0,Petrol,Manual,First Owner,16.8 kmpl,796 CC
Maruti Vitara Brezza LDi Option,2017,67000.0,7000.0,Diesel,Manual,First Owner,24.3 kmpl,1248 CC
Fiat Palio 1.2 ELX,2003,7000.0,5000.0,Petrol,Manual,Second Owner,,
Maruti Omni 8 Seater BSIV,2012,15000.0,3500.0,Petrol,Manual,Second Owner,14.0 kmpl,796 CC
Hyundai i20 1.2 Asta Dual Tone,2018,73000.0,238.8,Petrol,Manual,First Owner,18.6 kmpl,1197 CC
Maruti Vitara Brezza LDi,2017,65000.0,1620.0,Diesel,Manual,First Owner,24.3 kmpl,1248 CC
Maruti Alto 800 CNG LXI Optional,2019,33000.0,1000.0,CNG,Manual,Second Owner,33.44 km/kg,796 CC
Maruti Alto K10 VXI Airbag,2019,36600.0,1500.0,Petrol,Manual,First Owner,23.95 kmpl,998 CC
Hyundai Verna VTVT 1.6 SX Option,2019,114900.0,500.0,Petrol,Manual,First Owner,17.0 kmpl,1591 CC
Datsun GO D,2016,15000.0,4200.0,Petrol,Manual,First Owner,20.63 kmpl,1198 CC
Tata Safari DICOR 2.2 LX 4x2,2011,42500.0,6000.0,Diesel,Manual,Second Owner,13.93 kmpl,2179 CC
Maruti 800 Std,2012,15000.0,7600.0,Petrol,Manual,First Owner,16.1 kmpl,796 CC
Jeep Compass 1.4 Limited Plus BSIV,2019,210000.0,500.0,Petrol,Automatic,First Owner,16.0 kmpl,1368 CC
Honda City i VTEC VX,2018,92500.0,2890.0,Petrol,Manual,First Owner,17.8 kmpl,1497 CC
Honda City V MT,2013,42500.0,8630.0,Petrol,Manual,First Owner,16.8 kmpl,1497 CC
Maruti Swift Dzire VXi AT,2018,67500.0,2330.0,Petrol,Automatic,First Owner,18.5 kmpl,1197 CC
Maruti Vitara Brezza VDi,2018,81999.9,3260.0,Diesel,Manual,First Owner,24.3 kmpl,1248 CC
Maruti Alto K10 VXI,2018,39000.0,1030.0,Petrol,Manual,First Owner,23.95 kmpl,998 CC
Toyota Fortuner 4x4 MT,2014,150000.0,7700.0,Diesel,Manual,First Owner,12.55 kmpl,2982 CC
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,70000.0,9900.0,Diesel,Manual,First Owner,12.99 kmpl,2494 CC
Mercedes-Benz B Class B180,2014,145000.0,2780.0,Diesel,Automatic,Second Owner,14.8 kmpl,2143 CC
Honda Amaze S Diesel,2015,42500.0,4980.0,Diesel,Manual,First Owner,24.7 kmpl,1498 CC
Mitsubishi Pajero Sport 4X4,2013,109000.0,15100.0,Diesel,Manual,First Owner,13.5 kmpl,2477 CC
Honda City i DTEC S,2015,60000.0,5470.0,Diesel,Manual,First Owner,26.0 kmpl,1498 CC
Maruti Ciaz Zeta,2018,85000.0,6400.0,Petrol,Manual,First Owner,20.65 kmpl,1462 CC
Honda Jazz VX Diesel,2015,52500.0,6300.0,Diesel,Manual,First Owner,27.3 kmpl,1498 CC
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,165000.0,12770.0,Diesel,Automatic,Second Owner,11.36 kmpl,2755 CC
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,95000.0,9900.0,Diesel,Manual,First Owner,12.99 kmpl,2494 CC
Audi A6 2.0 TDI Technology,2013,175000.0,3390.0,Diesel,Automatic,Second Owner,17.68 kmpl,1968 CC
Toyota Corolla Altis 1.8 VL CVT,2018,159000.0,2500.0,Petrol,Automatic,First Owner,14.28 kmpl,1798 CC
Audi A6 2.0 TDI  Design Edition,2013,168999.9,5000.0,Diesel,Automatic,First Owner,18.53 kmpl,1968 CC
Mercedes-Benz New C-Class 220 CDI AT,2013,142500.0,5900.0,Diesel,Automatic,First Owner,14.84 kmpl,2143 CC
Tata Manza ELAN Quadrajet BS IV,2011,26500.0,12000.0,Diesel,Manual,First Owner,21.12 kmpl,1248 CC
Hyundai i10 Magna,2011,19000.0,11000.0,Petrol,Manual,Third Owner,20.36 kmpl,1197 CC
Hyundai i20 Asta 1.4 CRDi,2013,42500.0,6000.0,Diesel,Manual,First Owner,21.27 kmpl,1396 CC
Maruti Swift Dzire ZDI,2015,63000.0,14700.0,Diesel,Manual,Second Owner,26.59 kmpl,1248 CC
